term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo
intercept,intercept,4,2023,2023_?,2,Clase 2 vs Clase 1,4.9765,1.4827,3.3564,8e-4,144.9701,7.9283,2650.8023,TRUE,positivo
intercept,intercept,4,2023,2023_?,3,Clase 3 vs Clase 1,5.9078,1.4815,3.9878,1e-4,367.8981,20.1679,6711.1173,TRUE,positivo
intercept,intercept,4,2023,2023_?,4,Clase 4 vs Clase 1,3.7018,1.9489,1.8994,0.0575,40.5189,0.8886,1847.591,FALSE,positivo
urbano_rural,Zona urbana,4,2023,2023_?,2,Clase 2 vs Clase 1,0.1075,0.4629,0.2322,0.8164,1.1135,0.4494,2.7587,FALSE,positivo
urbano_rural,Zona urbana,4,2023,2023_?,3,Clase 3 vs Clase 1,0.0443,0.467,0.0949,0.9244,1.0453,0.4186,2.6106,FALSE,positivo
urbano_rural,Zona urbana,4,2023,2023_?,4,Clase 4 vs Clase 1,-1.4195,0.7998,-1.7748,0.0759,0.2418,0.0504,1.1596,FALSE,negativo
mujerMujer,Mujer,4,2023,2023_?,2,Clase 2 vs Clase 1,0.5278,0.4439,1.1889,0.2345,1.6952,0.7101,4.0467,FALSE,positivo
mujerMujer,Mujer,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.3165,0.4465,-0.7089,0.4784,0.7287,0.3037,1.7483,FALSE,negativo
mujerMujer,Mujer,4,2023,2023_?,4,Clase 4 vs Clase 1,0.6886,0.5144,1.3387,0.1807,1.9909,0.7265,5.456,FALSE,positivo
indiindi,Identidad indígena,4,2023,2023_?,2,Clase 2 vs Clase 1,-0.433,0.4619,-0.9373,0.3486,0.6486,0.2623,1.6039,FALSE,negativo
indiindi,Identidad indígena,4,2023,2023_?,3,Clase 3 vs Clase 1,-0.4075,0.4612,-0.8835,0.377,0.6653,0.2694,1.643,FALSE,negativo
indiindi,Identidad indígena,4,2023,2023_?,4,Clase 4 vs Clase 1,0.1533,0.5433,0.2822,0.7778,1.1657,0.4019,3.3812,FALSE,positivo
edad.L,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,-6.5447,0.4855,-13.4803,0,0.0014,6e-4,0.0037,TRUE,negativo
edad.L,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,-6.2841,0.509,-12.3453,0,0.0019,7e-4,0.0051,TRUE,negativo
edad.L,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,-6.3319,0.5606,-11.2949,0,0.0018,6e-4,0.0053,TRUE,negativo
edad.Q,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,6.6749,0.4201,15.8885,0,792.2904,347.759,1805.0552,TRUE,positivo
edad.Q,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,6.1902,0.4683,13.2193,0,487.9389,194.8793,1221.7014,TRUE,positivo
edad.Q,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,5.4485,0.5285,10.3084,0,232.4106,82.4794,654.8871,TRUE,positivo
edad.C,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,-4.007,0.5325,-7.5247,0,0.0182,0.0064,0.0516,TRUE,negativo
edad.C,Edad,4,2023,2023_?,3,Clase 3 vs Clase 1,-3.4871,0.5128,-6.8003,0,0.0306,0.0112,0.0836,TRUE,negativo
edad.C,Edad,4,2023,2023_?,4,Clase 4 vs Clase 1,-3.3562,0.5811,-5.7755,0,0.0349,0.0112,0.1089,TRUE,negativo
edad^4,Edad,4,2023,2023_?,2,Clase 2 vs Clase 1,2.0172,0.5566,3.6242,3e-4,7.5173,2.5251,22.3793,TRUE,positivo
