folio,ola,urbano_rural,mujer,indi,edad,d1_1,c5,d5_1,d6_1,c13,d3_1_red,d3_2_red,d4_2_red,d4_3_red,time4
110101908,1,1,Hombre,indi,25_34,4,4,4,4,3,2,1,1,1,1
110101908,2,1,Hombre,indi,25_34,3,4,3,4,3,1,1,2,1,2
110101908,3,1,Hombre,indi,35_44,5,3,2,3,3,1,1,1,1,3
110101908,4,1,Hombre,indi,35_44,3,5,3,4,5,1,1,1,1,4
110143403,1,2,Hombre,indi,35_44,4,3,4,4,2,2,2,2,2,1
110143403,2,2,Hombre,indi,45_54,4,3,2,3,3,1,1,1,1,2
110143403,3,2,Hombre,indi,45_54,5,4,3,4,3,1,1,1,2,3
110143403,4,2,Hombre,indi,45_54,4,4,4,3,4,2,2,1,1,4
110143502,1,2,Mujer,no_indi,45_54,3,3,3,3,3,1,1,1,1,1
110143502,2,2,Mujer,indi,55_64,3,4,3,3,4,2,2,2,1,2
110143502,3,2,Mujer,indi,45_54,5,4,2,4,3,1,1,1,2,3
110143502,4,2,Mujer,no_indi,45_54,4,3,4,3,2,2,2,1,1,4
110143601,1,2,Mujer,indi,65+,4,4,4,4,3,1,1,1,1,1
110143601,2,2,Mujer,no_indi,65+,4,3,3,3,2,1,1,1,1,2
110143601,3,2,Mujer,no_indi,65+,4,3,3,4,2,2,1,1,1,3
110143601,4,2,Mujer,indi,65+,3,3,3,3,2,2,2,2,2,4
110143604,1,2,Mujer,no_indi,35_44,3,4,4,4,3,2,2,2,2,1
110143604,2,2,Mujer,indi,35_44,4,5,1,4,3,1,1,2,1,2
110143604,3,2,Mujer,indi,35_44,4,5,3,4,4,2,1,2,2,3
110143604,4,2,Mujer,indi,35_44,4,5,3,4,4,2,1,2,2,4
110702003,1,1,Mujer,indi,25_34,3,4,1,3,3,1,1,2,1,1
110702003,2,1,Mujer,no_indi,35_44,5,2,3,1,3,2,2,2,2,2
110702003,3,1,Mujer,indi,35_44,2,4,2,4,4,1,1,1,1,3
110702003,4,1,Mujer,indi,35_44,3,4,2,4,3,1,1,2,2,4
110702006,1,1,Mujer,no_indi,45_54,4,3,4,4,3,2,2,2,2,1
